class_name,precision,recall,f1-score,support
basketball,0.4594594594594595,0.8095238095238095,0.5862068965517241,42.0
biking,0.74,0.8604651162790697,0.7956989247311828,43.0
diving,1.0,0.8918918918918919,0.9428571428571428,37.0
golf_swing,0.7021276595744681,0.8048780487804879,0.75,41.0
horse_riding,0.8275862068965517,0.8275862068965517,0.8275862068965517,58.0
soccer_juggling,0.631578947368421,0.3076923076923077,0.41379310344827586,39.0
swing,0.88,0.7096774193548387,0.7857142857142857,31.0
tennis_swing,1.0,0.3611111111111111,0.5306122448979592,36.0
trampoline_jumping,0.9130434782608695,0.7777777777777778,0.84,27.0
volleyball_spiking,1.0,0.9166666666666666,0.9565217391304348,24.0
walking,0.37209302325581395,0.5517241379310345,0.4444444444444444,29.0
accuracy,0.714987714987715,0.714987714987715,0.714987714987715,0.714987714987715
macro avg,0.7750807977105076,0.7108176812641408,0.7157668171520001,407.0
weighted avg,0.767221085687177,0.714987714987715,0.7139901303201451,407.0
